Div,DNA,DNA/Crypton,DNA/Crypton-A,DNA/Kolobok,DNA/Merlin,DNA/PIF-Harbinger,DNA/hAT-Ac,DNA/hAT-Blackjack,DNA/hAT-Charlie,LINE/CR1,LINE/L1,LINE/R2,LINE/RTE-BovB,LTR/ERV,LTR/ERV1,LTR/ERVK,LTR/ERVL,LTR/Gypsy,LTR/Unknown,PLE/Chlamys,RC/Helitron,SINE/5S-Deu-L2,SINE/MIR,SINE/tRNA,Unknown
46,951,0,0,164,0,0,0,0,0,267802,0,0,0,7517,47862,19288,3651,0,887,0,0,0,118,126,8452
47,142,0,0,0,0,0,0,0,0,204300,0,0,210,3819,37916,19574,2080,0,1848,0,0,0,912,0,8889
48,280,0,0,135,0,0,0,0,0,137742,0,0,383,2496,37819,13603,4895,0,923,0,0,137,408,0,4308
49,306,0,0,0,0,0,0,0,0,93854,0,331,0,563,17136,8677,3164,0,569,0,0,0,292,0,4188
50,106,0,0,0,0,0,0,0,0,58365,0,0,0,1690,11270,5046,2147,0,0,0,0,0,178,0,3323
51,0,0,0,0,0,0,0,0,0,42797,0,0,0,830,7728,3760,1073,0,851,0,0,0,0,0,1272
52,0,0,0,0,0,0,0,0,0,31153,0,0,347,835,3970,2955,2775,0,0,0,0,0,0,0,3779
53,0,0,0,0,0,0,0,0,0,20147,0,0,0,0,1995,1406,1291,0,392,0,0,0,0,0,806
54,0,0,0,0,0,0,0,0,0,7519,0,0,0,1144,3420,892,847,0,478,0,0,0,0,0,545
55,0,0,0,0,0,0,0,0,0,6358,0,0,0,0,1511,0,436,0,0,0,0,0,0,0,270
56,0,0,0,0,0,0,0,0,0,5695,171,0,0,679,1454,1245,222,0,0,0,0,0,0,0,746
57,0,0,0,0,0,0,0,0,0,2295,0,0,0,0,586,819,0,0,0,0,0,0,0,0,336
58,0,0,0,0,0,0,0,0,0,1756,0,0,0,0,2083,0,0,0,0,0,0,0,0,0,162
59,0,0,0,0,0,0,0,0,0,1210,0,0,0,0,1882,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,591,0,0,0,0,548,0,0,0,0,0,0,0,0,0,403
61,0,0,0,0,0,0,0,0,0,173,0,0,0,0,1091,0,163,0,0,0,0,0,0,0,29
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
